"05+3037";"ANDADOR  2 EN 1 FUNNY STAR";0.00;24.00;34656.1000;52000.0000;0.00;"7797161030375";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"05+3034";"ANDADOR 2 EN 1 MAXI ANDADOR C/BARRAL";3.00;24.00;74560.8100;124300.0000;3.00;"7797161030344";"";"";0.00;4.00;1.00;3.00;1.00;2.00;1.00;1.00;1.00
"01+4000";"CAMION VOLCADOR MAXI TRUCK COOLTOYS";0.00;24.00;1529.2800;2700.0000;0.00;"7796133040008";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01+5000";"CAMION MAXI TRUCK BOMBERO (TIRA AGUA!)-COOLTOYS";0.00;24.00;2332.8000;4100.0000;0.00;"7796133050007";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01+2000";"CARRETILLA COOLTOYS";0.00;24.00;777.6000;1400.0000;0.00;"7796133020000";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"01+3000";"WAGON COOLTOYS (PLASTIGAL) COOL TOYS";0.00;24.00;1036.8000;1850.0000;0.00;"7796133030009";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"07+026";"PATIN EXTENSIBLE RUEDA NARANJA MUCCILLI";0.00;24.00;1718.6300;3050.0000;0.00;"1100695550008";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+RDS1030";"PEPONA NEW STYLE CHICA NEW TOYS";0.00;24.00;1728.0000;3050.0000;0.00;"7798136110894";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03+RDS1040";"PEPONA NEW STYLE MEDIANA NEW TOYS";0.00;24.00;1728.0000;3050.0000;0.00;"7798136110900";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"02+41541";"CATALINA BEBOTA - 60 CM - CAJA - BABY ROSE TURBYTOYS";0.00;0.00;4245.2300;7450.0000;0.00;"7795168001541";"";"";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
